               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.023176,            0.021032,           0.0028169,             0.81414,             0.72763,             0.80038,             0.60353,            0.032828,            0.011402,            0.027887,           0.0067577,           0.0067577,           0.0067577
                 133,             0.02493,            0.022285,           0.0030269,             0.86213,             0.69184,             0.79935,              0.5952,            0.032521,            0.011423,            0.027519,            0.006733,            0.006733,            0.006733
                 134,            0.024676,            0.023043,           0.0030156,             0.85975,             0.68099,             0.77932,             0.58084,             0.03206,            0.011925,            0.031619,           0.0067082,           0.0067082,           0.0067082
                 135,            0.024164,            0.021636,           0.0030907,             0.85384,               0.727,              0.8084,               0.614,              0.0299,            0.011118,             0.03017,           0.0066835,           0.0066835,           0.0066835
                 136,            0.024172,            0.021176,           0.0033436,             0.85402,             0.69126,             0.81421,             0.60684,            0.031578,            0.011541,            0.019688,           0.0066587,           0.0066587,           0.0066587
                 137,            0.023974,            0.020652,            0.003197,             0.83901,             0.77384,              0.8635,             0.64238,            0.031266,            0.011304,            0.017008,            0.006634,            0.006634,            0.006634
                 138,             0.02437,            0.021578,           0.0030194,              0.8808,             0.72902,             0.85297,             0.64092,            0.030701,            0.010712,            0.022284,           0.0066092,           0.0066092,           0.0066092
                 139,            0.025197,            0.022457,           0.0027976,             0.87819,             0.73414,             0.83304,             0.62853,            0.032563,            0.011372,            0.024327,           0.0065845,           0.0065845,           0.0065845
                 140,            0.023787,            0.020575,           0.0033348,             0.90003,             0.63547,              0.8048,              0.6279,            0.032103,             0.01114,             0.02607,           0.0065598,           0.0065598,           0.0065598
                 141,            0.024084,            0.021279,           0.0030698,             0.92202,             0.66764,             0.83918,             0.63002,            0.032006,            0.011512,            0.020711,            0.006535,            0.006535,            0.006535
                 142,            0.024687,            0.022649,           0.0032621,             0.88197,               0.657,             0.81259,             0.62015,            0.033048,            0.011483,            0.022226,           0.0065102,           0.0065102,           0.0065102
                 143,            0.024618,            0.022197,           0.0030914,             0.83894,             0.66786,              0.8056,             0.60992,             0.03255,            0.011682,            0.025953,           0.0064855,           0.0064855,           0.0064855
                 144,            0.023642,            0.021176,           0.0031153,             0.81316,             0.76092,              0.7994,             0.60995,            0.032846,            0.011673,            0.023891,           0.0064608,           0.0064608,           0.0064608
                 145,             0.02366,            0.021889,           0.0026073,             0.82868,             0.68372,             0.78463,              0.6057,            0.033954,             0.01121,             0.02365,            0.006436,            0.006436,            0.006436
                 146,            0.023225,             0.02112,           0.0029489,             0.82914,             0.67926,             0.77528,             0.58652,             0.03522,            0.011684,            0.021872,           0.0064112,           0.0064112,           0.0064112
                 147,            0.023023,            0.019419,           0.0030377,             0.88193,             0.67114,             0.77639,             0.57987,            0.033774,             0.01199,            0.025504,           0.0063865,           0.0063865,           0.0063865
                 148,            0.022966,            0.020091,           0.0029564,             0.80048,             0.70391,             0.76064,             0.57844,             0.03273,            0.011065,            0.028312,           0.0063618,           0.0063618,           0.0063618
                 149,            0.023719,            0.022266,           0.0027786,             0.79913,                0.71,             0.76643,             0.58937,            0.033126,            0.011409,            0.028586,            0.006337,            0.006337,            0.006337
                 150,             0.02294,            0.020088,           0.0027572,             0.82285,             0.67203,             0.79697,             0.61548,            0.032479,            0.011622,            0.023113,           0.0063122,           0.0063122,           0.0063122
                 151,            0.024073,            0.022596,           0.0024682,             0.85871,             0.67517,             0.79672,             0.59607,            0.032703,            0.011957,            0.022632,           0.0062875,           0.0062875,           0.0062875
                 152,            0.022599,            0.020357,           0.0031289,             0.78465,             0.69656,             0.77914,             0.58639,            0.032001,            0.012205,            0.024265,           0.0062628,           0.0062628,           0.0062628
                 153,             0.02269,            0.019775,           0.0028276,             0.82796,             0.74559,             0.81899,             0.61605,            0.031115,            0.011585,            0.017995,            0.006238,            0.006238,            0.006238
                 154,             0.02304,            0.020064,           0.0025593,             0.80426,             0.73571,             0.81237,             0.59783,            0.032861,             0.01206,            0.022445,           0.0062132,           0.0062132,           0.0062132
                 155,            0.024017,            0.021705,           0.0023242,             0.86673,             0.69607,             0.81633,             0.60662,            0.032565,            0.012403,            0.021101,           0.0061885,           0.0061885,           0.0061885
